userName,score,at,content
Ananda Alyn FR,5,2025-12-06 11:23:38,mantap
Dori Saputra,5,2025-12-06 11:18:33,"mempermudah pengaduan maslah listrik dan pembelian token,PLN terbaik👍👍👍"
Ahmad Toha,5,2025-12-06 11:16:13,pelayanan sangat cepat dan tepat
arni cinta,5,2025-12-06 11:12:42,terimakasih
Rahmat Fauzi,5,2025-12-06 11:11:57,"dengan PLN ada nya aplikasi PLN mobile, semua terasa lebih mudah ,baik untuk membeli token dan pengaduan masalah listrik, pokoknya PLN mobile mantap sukses selalu 👍👍"
Andrean,5,2025-12-06 11:11:35,pelayanan cepat dan mudah direspon
Soklin Saputra,5,2025-12-06 11:08:04,"gerak cepat ,langsung selesai"
Octavia Redian,5,2025-12-06 11:07:57,mantaaap maen bola
Windi Anggita,5,2025-12-06 11:07:36,"cepat, tanpa ribet sat set"
Andy Syahputra,5,2025-12-06 10:57:46,sangat praktis dan proses cepat
Enab,5,2025-12-06 10:48:41,aplikasi PLN mobile sangat lah bagus nan bermanfaat
Sela Puspita,5,2025-12-06 10:48:29,"Aplikasi yang sangat membantu sekali,bisa untuk melihat tagihan bulan depan melalui swabcam ,bisa juga untuk bayar listrik bulanan 👍🏻👍🏻"
Fayyad Hakim,5,2025-12-06 10:47:17,gampang digunakan
Bagus Indra Wijaya,5,2025-12-06 10:46:37,baik
Said Amir (Mimbaba),5,2025-12-06 10:46:19,Alhamdulillah petugas di lapangan sangat fast respon..kami di Kabupaten Sorong kecamatan aimas berterima ksh kepada petugas lapangannya..TOP lah👍🙏🙏🙏
Cacaaa _Oktaviaa,5,2025-12-06 10:43:56,pln mantap
Gafit Z,5,2025-12-06 10:41:33,trima kasih
Urang Manggar,1,2025-12-06 10:41:11,"layanan PLN dilokasi saya sangat buruk, setiap hari selalu padam listrik dan sering sekali terjadi trouble, tolong di tindaklanjuti, lokasi PLN Tarempa, Kepulauan Anambas."
Dwi Haryanto,5,2025-12-06 10:39:13,PLN MOBILE.MUDAH BELI TOKEN PENGADIAN LISTRIK DLL
Umi Kawaka,5,2025-12-06 10:31:28,"Aplikasi PLN Mobile ini sangat mempermudah saya dalam segala urusan listrik. Mulai dari pembelian token, pembayaran tagihan, sampai lapor gangguan, semua bisa dilakukan dalam satu genggaman. Prosesnya cepat, user interface-nya juga mudah dipahami. Lima bintang untuk aplikasi yang super bermanfaat ini! Terima kasih PLN!"
Awwalia Nur Khasanah,5,2025-12-06 10:27:59,Pelayanan bagus
Muhammad Syaputra,5,2025-12-06 10:27:42,terimakasih aplikasi ini sangat membantu dan mudah digunakan dimana pun
dwi supraptiwi hadiutami,5,2025-12-06 10:26:49,keren fast respon terima kasih
agung cahyogi,5,2025-12-06 10:26:24,mantulll
Irma Indrayani,5,2025-12-06 10:24:02,good job
Adhye Chicozz,1,2025-12-06 10:22:10,"Sangat-sangat tidak berguna, seandainya ada penilaian bintang dibawah 1 itu sangat pantas"
Muhammad Kosim,5,2025-12-06 10:20:22,muuaannnnntap pokonya
Rachel 002,5,2025-12-06 10:18:42,APLIKASI INI SANGAT BAGUS PROSESNYA CEPAT MANTAP
R Adam,5,2025-12-06 10:17:19,terbaik
Asmelia Lua,5,2025-12-06 10:16:52,PLN mobile memudahkan untuk melakukan pembelian token karena adminnya murah bangettt. terimakasihhh PLN
Robinson Purba,5,2025-12-06 10:16:17,"petugasnya harap di kondisikan semua, apabila ada pemadaman listrik petugasnya agak lamban dalam penanganan nya."
vivi indriani,5,2025-12-06 10:12:50,PLN sukses menerangi negeri
Dea Alfera Rianty,5,2025-12-06 10:10:42,mantap segala jenis pelayanan di PLN semua ada di PLN Mobile
PERPAK BOCOR,5,2025-12-06 10:08:24,mantap petugas siap siaga Joss
Wowo Arbak,5,2025-12-06 10:08:08,Aplikasinya sangat membantu untuk swacam mandiri setiap bulan. banyak promo vocher juga. Terimakasih PLN.
Emi Faridah,5,2025-12-06 10:06:43,"tanggap laporan dari kendala masyarakat, terima kasih semoga pelayannnya semakin mudah dan cepat"
Veni Rahayu,5,2025-12-06 10:04:00,"pln mobile aplikasi yg sangat lengkap dengan fitur yang mudah dipahami, mantab👍🏻👍🏻"
Roki Saputra,5,2025-12-06 10:02:32,"cepat ditangani oleh petugas, terimakasih pln"
Ilham Marziz,5,2025-12-06 10:00:22,pln mobile sangat mantap poll dan sangat membantu
Olga Olvianda,5,2025-12-06 09:58:06,Mempermudah masyarakat dlm transaksi pembayaran listrik.. terima kasih PLN mobile 👍
Aldian Aldian,5,2025-12-06 09:53:29,saya pakai pln mobile lebih mudah
Yaku DJ,5,2025-12-06 09:51:34,"Transaksi cepat, konsep penggunaan mudah dipahami, informasi produk jelas."
Syifa Salsabila,5,2025-12-06 09:50:45,bagus bisa beli listrik online
plts Treweng,5,2025-12-06 09:44:13,ok
tuti mildasari,4,2025-12-06 09:43:16,pelayanan lewat aplikasi PLN nya cepat.. terimaksih
Alfiani 2727,5,2025-12-06 09:43:12,saya sangat puas dengan layanan nya..petugasnya sangat sigap dalan menangani masalah meteran saya
Muhammad Zaini,5,2025-12-06 09:41:28,sangat membantu
Lussy Dhama susanti,5,2025-12-06 09:40:41,pelayanan bagus dan cepat apalagi dalam menangani gangguan listrik semoga kedepannya lebih baik lagi 👍👍
Rudi Zamani,5,2025-12-06 09:39:12,"sangat bermanfaat, respon cepat dan saya berterima kasih atas pelayanan PLN."
Jamaliah Jamaliah,5,2025-12-06 09:37:02,pln mobile mudah digunakan dan sangat membantu 👍
