userName,score,at,content
Ekro Emmen Agustinus Waluba,5,2025-12-06 05:08:56,aplikah ini mudah melapor ganguan listrik
wena dianita,5,2025-12-06 05:06:51,terimakasih atas penanganan petugas yang sigap dan cepat melayani
ASM,5,2025-12-06 05:04:50,semenjak ada pln mobil pasang baru rubah daya jdi mudah 🙏🙏
Zainul ludin12,5,2025-12-06 05:03:24,Terimakasih Aplikasi ini sangat membantu dan bermanfaat bagi saya dan pelanggan yg lain . PLN mobile Top Terbaik 👍
Taling aja,5,2025-12-06 05:02:11,"aplikasi yg sangat membatu di bidang kelistrikan pln ,karena disi kita bisa laporan ganguan listik rumah pribadi atou pun ganguan aset milik pln seperti trapo yg putus sikring misalnya"
Nixon Kolo,5,2025-12-06 05:01:46,dengan adanya aplikasi Pln mobile sangat mempermudah tentang kelistrikan dapat membeli pulsa dan adminnya murah.
Nenny Nuraeni,5,2025-12-06 05:01:06,banyak menu yg bisa saya gunakan seperti pengajuan tambah daya dan pengaduan pun bisa cepat dilayani
Umar Hm,5,2025-12-06 05:00:39,Terbaik
Rosna Kolo,5,2025-12-06 04:57:38,"dengan adanya aplikasi Pln mobile benar benar mempermudah mengenai kelistrikan mulai dari cek tagihan, pasang baru dan perubahan daya"
Natalia sipahelut,5,2025-12-06 04:54:47,PLN mobile terbaik Aplikasi terbaik dan mudah untuk di gunakan sya bertransajsu untuk tambh daya lebih mudah
Lamongengu Lamongengu,5,2025-12-06 04:50:57,"PLN mobile sangat bagus memudahkan pembelian Token listrik, memudahkan pembayaran rekening listrik,dan memudahkan tarif daya serta pelayanan gangguan lebih cepat"
Devissalamor simondaud,5,2025-12-06 04:50:46,Aplikasi PLN MOBILE memang terbaik.. Bertransaksi Listrik lebih mudah di malam hari .. pengisian Token dll Terbaik PLN ku
Muhammad Sidiq,5,2025-12-06 04:49:13,sangat baik untuk menggunakan aplikasi ini bisa bayar listrik melalui PLN mobile
Piin Marpin,5,2025-12-06 04:48:50,PLN oke
Faris Adi Dharmawan,5,2025-12-06 04:46:07,sangat membantu
Antonius Noetef,5,2025-12-06 04:46:01,"aplikasi sangat bermanfaat, bisa beli token dan psang baru"
Irma Pebriani,5,2025-12-06 04:43:47,mantep
luluk aswiati,5,2025-12-06 04:42:00,pelayanan bagus dan cepat jika ada kendala. terimakasih
Martina Remba,5,2025-12-06 04:41:40,buat pengaduan listrik jadi semakin mudah dengan aplikasi PLN mobile.
Angki Sede,5,2025-12-06 04:40:45,aplikasi PLN mobile sangat membantu dalam proses gangguan listrik
Rengga Mben,5,2025-12-06 04:38:53,cepat dan ramah
Muhammad Ramdan,5,2025-12-06 04:38:10,sangat membantu dan nyaman untuk apk yang mantap
Juliana Agus,5,2025-12-06 04:37:08,mantapp..bisa untuk pembelian token listrik
Imam sobirinn,5,2025-12-06 04:35:21,josss gandosss
rahman sunda,5,2025-12-06 04:34:59,mantep jos ok
Ery Ardiyanto,5,2025-12-06 04:34:45,pln mobeil ok
Elsa RaheL,5,2025-12-06 04:33:49,Rensponsif. Dihubungi via aplikasi. langsung ditindak lanjuti di hari yang sama. Mantap.
Nur Aisiyah,5,2025-12-06 04:33:42,memuaskan
Irfan Ramadhan,5,2025-12-06 04:33:15,Oke
Agus Hary,5,2025-12-06 04:31:53,"Terimakasih, Pemasangan lancar dan di Carikan solusi terbaik"
UKUN,5,2025-12-06 04:29:42,"PLN mobile TOP,"
tanmizi tanmizi,5,2025-12-06 04:29:02,Terimah kasih PLN mobile telah membantu menjadi mudah
Agnis Sopa Paripurno,5,2025-12-06 04:28:25,utk responnya cpat. cm syang nya msh sering mati lampu tnpa ad pemberitahuan.
Randy Putra,5,2025-12-06 04:26:22,aplikasinya bagus sangat membantu dalam melaporkan keluhan kami..terimaksih
tedi styadi,5,2025-12-06 04:19:57,pln terbaik pelayanan bagus petugas nya ramah dan santuan♡♡♡♡
Lana Hamm,5,2025-12-06 04:18:37,bermanfaat sekali
Ucil Nattu,5,2025-12-06 04:10:27,semua semakin mudah dengan pln mobile👍
Kadir 7,5,2025-12-06 04:10:11,terdapat info diskon dan tarif listrik
Slamet Widodo,5,2025-12-06 04:01:22,cepet TDK dipungut biaya apapun trimakasih
adiba munif,5,2025-12-06 04:00:11,terbaik
lusi nasesa,3,2025-12-06 03:59:06,kenapa penyambungan kwh baru punya orang tua saya kok belum kepasang kan sudah ada 2 minggu lebih.
Lukas Makanlehi,5,2025-12-06 03:57:40,aplikasi cocok bwat lapor gangguan listrik
Fadli,5,2025-12-06 03:56:32,Aplikasi ini sangat membantu dan mempermudah Pelanggan dalam pengaduan Pelanggan jadi mudah
Haerina Oktavilani,5,2025-12-06 03:52:47,terdapat info diskon dan tarif listrik
Azhura Azhahra,5,2025-12-06 03:50:13,"mudah,cepat pelayanannya"
Usman Kesi,5,2025-12-06 03:49:20,apk sangat bagus
Saepul Zenal,5,2025-12-06 03:48:52,bgus
Rosi Fadilla,5,2025-12-06 03:48:52,sangat bagus dan memudahkan pelanggan untuk lapor kalau ada kendala/gangguan
LD Rasmin,5,2025-12-06 03:46:52,aplikasi bgus melapor tidak perlu k kantor bisa melapor d rumah dengan menggunakan aplikasi pln mobile
Sri Wahyuni,5,2025-12-06 03:45:51,terima kasih dengan aplikasi ini sangat terbantu pak
dr.motor81,5,2025-12-06 03:45:42,sangat bagus
Ahmad Dati,5,2025-12-06 03:45:20,Aplikasi banyak gangguan nya 👎
Aisyah Shinta Balqis,5,2025-12-06 03:38:03,"PLN MOBILE sangat bagus memudahkan pembelian token listrik , memudahkan perubahan tarif daya , memudahkan pembayaran token listrik , serta pelayanan gangguan lebih cepat."
Gusti Permana Syahril,5,2025-12-06 03:37:21,pln mobile sangat membantu 👍👍👍👍👍
Novi Rahma,5,2025-12-06 03:36:37,baik dan respon cepat saat pelayanan
Bujang minang Minang,5,2025-12-06 03:33:09,mempermudah pembelian token dimana saja dan kapanpun bisa lapor gangguan menggunakan aplikasi ini
Petrus Mapada,5,2025-12-06 03:32:13,aplikasi sangat membantu sekali terutama kami yg jauh dari jangkauan kanfor pln
Kirana Larasati,5,2025-12-06 03:32:06,PLN semakin mudah. dan gampang buat laporan gangguan dan pasang baru
Adam Susanto,5,2025-12-06 03:31:22,sangat bagus
Lince Siagian,5,2025-12-06 03:23:54,plm mobile ini sangat mudah untuk laporan kami planggan
Janetha S,5,2025-12-06 03:20:42,jos
Haddad Alwi,5,2025-12-06 03:19:07,"sangat memudahkan ketika ada keluhan kelistrikan dan keperluan lain nya, terimakasih pln"
Faiz Faizalkhaliq,5,2025-12-06 03:18:23,"apk yg sangat membantu dan mempermudah masalah2 kelistrikan dari beli token,bayar tagihan bulanan dan masih banyak lagi tampilan dan menu2 lainnya 👍👍👍"
Gepeng Saputra,5,2025-12-06 03:17:58,terbaik 👌
Ahmad Alfani,5,2025-12-06 03:17:35,josss
Bahar Baharuddin,5,2025-12-06 03:16:29,sangat baik untuk melakukan permohonan aplikasi nya mantap
Adi Sofiyan,5,2025-12-06 03:16:18,iztimewa jos aplikasinya
Onesius Kolo,5,2025-12-06 03:13:04,mantap aplikasi pln mobile ada pembayaran dan perubahan daya.
Neldis Binsasi,5,2025-12-06 03:11:01,pln terbaik dengan aplikasinya ada pembelian pulsa dan perubahan daya.
alimura Spd,5,2025-12-06 03:10:24,"aplikasi PLN mobile sangat membantu dalam urusan dengan PLN, di aplikasi ini kita bisa membuat aduan gangguan ketika ada masalah listrik di rumah dan respon petugasnya sangat cepat"
Putri Putri,5,2025-12-06 03:09:00,"PLN sangat membantu masyarakat dalam permasalahan listrik, baik pemasangan baru ataupun pembayaran"
Mahmudamahmuda 123,5,2025-12-06 03:06:51,sangat mudah untuk pelaporan gangguan listrik.
Anha Bakry,5,2025-12-06 03:06:26,bisa mengetahui pemakain melalui catat meter mandiri
Imam Syafi'i,5,2025-12-06 03:05:40,yes mantap
Doni Sandria,5,2025-12-06 03:04:12,Terimakasih PLN Mobile... semenjak menggunakan aplikasi ini saya jadi tidak merasa khawatir dengan gangguan ataupun keluhan terkait kelistrikan dirumah saya...
Amina Buamona,5,2025-12-06 03:03:50,Aplikasi PLN MOBILE dinilai positif dan mudah digunakan. Aplikasi ini sangat membantu sekali. Saya bisa membayar tagihan listrik dengan cepat dan mudah.
Nofi Arianto,5,2025-12-06 03:02:07,"Sangat membantu sekali , semua info PLN ada semua"
Mrs Martina dona,5,2025-12-06 03:01:03,"PLN mobile mempermudah kami, untuk melakukan pembelian token listrik."
Inung Style,5,2025-12-06 03:00:12,the best 👍👍
Kurnia Sukmawati,5,2025-12-06 02:58:31,terimakasih pln mobil sangat luar biasa
Arinsyah ari,5,2025-12-06 02:58:05,pelayanan terbaik respon cepat
KJR16 SBY,5,2025-12-06 02:57:40,bagus sekali gaees ok
Afif maulana,5,2025-12-06 02:57:20,Mantao dan keren aplikasi PLN
Icha Renata37,5,2025-12-06 02:55:04,makin komplit aplikasinya saya suka saya suka sekali
Agus,5,2025-12-06 02:51:57,aplikasi sangat membantu untuk lapor gangguan listrik di rumah.
Mr. Nababan,5,2025-12-06 02:50:30,"terimakasih dengan hadir nya PLNmobile pengaduan pelanggan jadi mudah,PLN HEBAT👍👍👍"
Nurul Mahmudah,5,2025-12-06 02:50:07,pelayanan maksimal 👍
Delvilaturua,5,2025-12-06 02:47:51,"dengan PLN mobile semua lebih mudah, dan pelayanan yang maksimal ⚡🔥"
dede bengkel,5,2025-12-06 02:45:58,mantap
Herry Hidayat Hernowo,5,2025-12-06 02:43:56,Sangat mudah untuk kami sebagai planggan pln mobile...
MUHAMMAD ABDUH,5,2025-12-06 02:43:17,pln mantap cepat tanggap respon sangat cepat
Husnul Khatimah,5,2025-12-06 02:42:45,terdapat info diskon dan tarif listrik
Pur Wanto,5,2025-12-06 02:42:42,bagus
Alma Qianzi,5,2025-12-06 02:42:05,aplikasi pln mobile sangat membantu kami pelanggan.
Filomena Manur,5,2025-12-06 02:41:00,terima kasIh pln atas aplikasi yang varu kami donlop terima kasih juga para petugas yang datang mantap pln
Palette Music3,5,2025-12-06 02:37:38,"mudah, murah"
Chie Kila,5,2025-12-06 02:37:36,semoga lebih baik lagi
Melly,5,2025-12-06 02:31:42,PLN gercep.... apk ok
erycka Kristina,5,2025-12-06 02:31:07,"Aplikasi sangat membantu dlm pengaduan gangguan, dan semakin lengkap fiturnya. Luar biasa PLN 🔥🔥🔥"
Alif Surya Pratama,5,2025-12-06 02:30:44,TOP MARKOTOP
Labkoli megi,5,2025-12-06 02:30:18,Trimakasih banyak PLN atas pelayanannya bagi kami masyarakat
Nathan Ake,5,2025-12-06 02:27:54,sangat membantu Skali👍
Yantek6 Rumbai,5,2025-12-06 02:24:16,aplikasi ini sangat memudahkan bagi pengguna listrik pln
Sudirman Dirman,5,2025-12-06 02:22:41,Aplikasinya MANTAP bisa Melapor Lampu Mati dll
Merista Ghunu,5,2025-12-06 02:20:28,aplikasinya sangat recommended banget deh dalam pengaduan listrik secara online
Subagyo Hari Purnomo,4,2025-12-06 02:15:00,"agak lambat penanganan perbaikan jaringannya, tp tuntas dan tanpa biaya."
Yulis Mekarjaya10,5,2025-12-06 02:14:19,cepat utk penanganannya
Aji Gendruwo,5,2025-12-06 02:13:58,"udah bagus sih sayang nggak bisa top up saldo, jadi nggak bisa buat usaha, pembayaran tagihan harus pakai pihak ke tiga dan kena admin, harusnya bisa top up saldo dan pembayaran langsung dari aplikasi ini tanpa biaya admin, mohon untuk di kembangkan lagi"
Agus,5,2025-12-06 02:13:45,"pagi yang cerah,selamat pagi pln💪🏽"
Tri Kusuma,5,2025-12-06 02:11:35,bagus banget banget banget banget 🤩🤩🤩🥳
Zulkifly Abbas,5,2025-12-06 02:11:18,memudahkan untuk mengetahui biaya
Hasrul Haswandi,5,2025-12-06 02:11:08,pelayanan responnya cepat ⭐⭐⭐⭐⭐
Aila,5,2025-12-06 02:00:50,PLN mobil terbaik
Van Nia,5,2025-12-06 01:58:18,PLN Mobile laporan jadi mudah
Noer Taznoer,5,2025-12-06 01:56:34,"Luar biasa, Aplikasi PLN Mobile semakin keren saja semua makin mudah bisa transaksi pembayaran tagihan listrik, beli token 😎😎😎"
Fransiska Dosinaen,5,2025-12-06 01:56:30,semua kelistrikan makin mudah menggunakan app PLN mobile sekarang
Bubam Ber,5,2025-12-06 01:52:48,"aplikasi plng mobile banyak kegunaan nya,bisa bayar tagihan listrik,pasang baru,perubahan daya dan pengaduan gangguan listrik.terimah kasih plng."
Wayan Okta,5,2025-12-06 01:49:52,"makasi PLN, karna ada aplikasi PLN Mobile bisa gampang kalo mau tambah daya, pasang baru , selain itu bs bayar listrik juga dan beli pulsa listrik. 🙏🙏 smoga makin jaya ya PLN"
taufan moslem,5,2025-12-06 01:49:10,Aplikasi yang memudahkan sekali
Zahra Nur,5,2025-12-06 01:48:06,"penanganan cepat, terimakasih untuk petugas/kru PLN"
Deden Hungkul,5,2025-12-06 01:47:13,pelayanan sangat memuaskan dan cepat tanggap..
Bojez Cakep,5,2025-12-06 01:42:59,terdapat info diskon dan tarif
Nafidhatul Ulum islami,5,2025-12-06 01:37:38,"Aplikasi ini sangat membantu saya, disaat pas lagi banyak kegiatan"
Zahir El,5,2025-12-06 01:36:23,Terima kasih dgn adanya aplikasi ini kami sebagai pelanggan sangat terbantu dgn pembelian token cek tagihan tambah daya pasang baru pengaduan gangguan dan pelayanan lainnya
Rini Darsita,5,2025-12-06 01:33:48,pakai aplikasi layanan lebih cepat tanggapan
Horiime Inoue,5,2025-12-06 01:31:53,tambah daya bisa di PLN mobile dan bayar listrik makin mudah
Aryadhi,5,2025-12-06 01:25:03,"Saya sebayar listrik dan transaksi pake aplikasi PLN Mobile, sangat membantu dan juga membeli token dipermudah👌👌"
Heru Manu,5,2025-12-06 01:23:12,"Memudahkan kita sebagai pelanggan PLN untuk buat pengaduan dikala ada gangguan kelistrikan dan menu live chat di PLN Mobile juga keren, fast respon cso nya. Mantap PLN"
ni putu septiarini,5,2025-12-06 01:22:37,makin lengkap fiturnya ya
dex anggi,5,2025-12-06 01:22:33,"banyak promonya, semakin mudah pantau lapor gangguan"
PRASETYO S.B.,5,2025-12-06 01:22:32,sangat bagus dan membantu sekali
Citra Lasmini Dps,5,2025-12-06 01:22:21,semua makin mudah dgn aplikasi pln mobile untuk keluhan listrik
Mazroatul Rizqy,5,2025-12-06 01:20:31,baik dalam pelayanan
Wais,5,2025-12-06 01:19:28,tengkiu
Reza,5,2025-12-06 01:17:59,baik dan cepat
Yuyu Nugraha,5,2025-12-06 01:12:52,jadi lebih mudah melakukan pembelian token dan pembayaran rekening listrik melalui aplikasi PLN mobile 👍👍 dan dan banyak promo menarik looooooh🤍💜🤍 cakep bgt deh pokoknya..keren loh
Nadia Arifani,5,2025-12-06 01:10:20,bagus
PuntiMita,5,2025-12-06 01:08:47,Sangat membantu sekali⚡
Chintya Dewi,5,2025-12-06 01:08:35,Selalu pakai PLN Mobile kalau beli Token simple sat set sat set 😉
Wisma Dana,5,2025-12-06 01:05:21,"Aplikasinya sangat membantu, fitur2 nya juga lengkap dan mudah dipahami. Banyak event dan promo juga, mantap aplikasinya ✨"
Rahmawati Halifah,5,2025-12-06 01:03:33,aplikasinya sangat bagus bisa bayar listrik yg terpenting bisa membuat pengaduan tanpa repot ke kantor
Paman Dulex,5,2025-12-06 01:02:58,fitur fitur aplikasinya bagus dan terbarui sangat mudah di gunakan dan aman dan nyaman👍
Istianah Indah wahyuni,5,2025-12-06 01:01:40,lapor gangguan listrik jadi lebih mudah lewat aplikasi ini
Rafid Uter,5,2025-12-06 01:01:38,Pln mobile terbaikk dan sangat mem permudahkan pelanggan buat melakukan transaksinya👍
Ayu Evi,5,2025-12-06 01:00:06,semakin mudah dalam 1 genggaman..thx u pln mobile 😎
Ertus Ndau,5,2025-12-06 00:56:28,terimakasih PLN mobile. aplikasinya bagus sekali dan sangat berguna bagi kami sebagai pelanggan setia pln
Emma Wijayanti,5,2025-12-06 00:55:01,sangat membantu
Laksmi Ekaningtyas,5,2025-12-06 00:51:10,Mudah2an nanti dapat hadiah kalau rutin melakukan swacam di PLN mobile karena lagi ada promo Gelegar Swacam. Jangan lupa lapor pada tgl 23-27 setiap bulan😍
deasy flip,5,2025-12-06 00:51:04,"pln mobile sekarang lengkap banget, sudah ada chat langsung ama csnya.. 👏👏👏👍👍👍"
Ferdin Raga,5,2025-12-06 00:45:13,terbaik
tami amerta,5,2025-12-06 00:38:08,"semakin bnyk fitur yg memudahkan di PLN Mobile, dan kmren tambah daya dapet promo plus dapet voucher listrik jugak😍😍"
Made Juniarta,5,2025-12-06 00:36:21,"Bayar Rek listrik, Beli Token Listrik semua ada di PLN MOBILE 💡⚡"
Su Beno,5,2025-12-06 00:32:38,BAGUS BAGUS....
Eka Astari,5,2025-12-06 00:31:26,"Beli token mudah, lapor gangguan juga mudah. Thank PLN Mobile keren, best👍"
Putra Bali,5,2025-12-06 00:26:17,"Banyak fitur di PLN Mobile apalagi promo promonya seperti tambah daya,sangat membantu"
Abimanyu Disky Romeo,5,2025-12-06 00:24:49,"Mantap, APK Keren banget"
Tri atmo Sugihartono,5,2025-12-06 00:12:17,"tolong cantumkan juga tarif dasar listrik untuk masing"" daya di aplikasi PLN mobile. trimakasih."
Zakki Muhammad zakki,5,2025-12-06 00:08:10,pln mobile 👍👍👍
Nur Ambar,5,2025-12-06 00:07:00,mudah mengatasi gangguan
vivi dwi,5,2025-12-06 00:04:29,"kalau ada trouble selalu pengaduan lewat pln mobile, pelayanan baguss, fast respon... masalah langsung ditangani"
Arlan,5,2025-12-05 23:57:37,aplikasinya membantu memudahkan pelanggan untuk mendapatkan layanan kelistrikan dengan cepat.
Ficky Mahendra,5,2025-12-05 23:52:17,apk mempermudah masyarakat 👍👍
Fatur Rohman,5,2025-12-05 23:51:01,PLN Top👍👍👍
Mikol Pkl,5,2025-12-05 23:46:35,PLN mobile anti ribet boss asli ⭐⭐⭐⭐⭐
purnaman sosmed,5,2025-12-05 23:44:08,sangat membantu
hinarti kesmas,5,2025-12-05 23:35:43,Pln bagus mudah di pahami penggunaannta
Defy Lolaroh,5,2025-12-05 23:31:18,👍👍
Jamal Udin,5,2025-12-05 23:28:30,pln mantap poll
Indra Setiawan,4,2025-12-05 23:20:09,sulit untuk daftar plts on grid di online
Mbak Kaliboto,5,2025-12-05 23:11:26,pelayanan sangat membantu
Baya Fahrul,5,2025-12-05 23:01:11,PLN mobile sangat mudah... dlm ganggu an listrik
Shale Hoddin,5,2025-12-05 22:32:39,"Akses cepat, mudah dan layanan lengkap"
Ade Naya,5,2025-12-05 21:05:57,"PLN MOBILE seperti dewa penolong, aplik lengkap, mudah, dan cepat diakses"
Eka Agustiningsih,5,2025-12-05 19:57:47,sudah nyala dan ramah cepat
Anak Jalanan,5,2025-12-05 19:23:45,pelayanan memuaskan
Ahmadun Tapin,5,2025-12-05 18:45:25,"Luar biasa reaponnya cepat sekali, Terimakasih PLN"
muhammad Raditya,1,2025-12-05 17:58:59,beli token listrik dari siang ga masuk nomer token nya sedangkan uang sudah kepotong di mbanking dan status di mbanking berhasil top up token listrik tapi ga masuk2 nomer tokennya sampai malam hari.👎
sukis wanto,5,2025-12-05 17:41:11,sangat bagus dalam reaksi pembenahan dan perbaikan 👍👍👍
Rohma Tin,1,2025-12-05 17:22:26,"pelayanan lama liatrik padam nggak nyala""dari jam 4 sampai larut malam udah gitu laporan di batalin cs sampai jam set 1 belum nyala juga"
Nadya Ayu,1,2025-12-05 17:16:50,"dua kali isi lewat aplikasi hasilnya gak sesuai harapan , saldo terpotong tapi transaksi gagal dan customer service nya lambat , komplain sampai 3 kali jawabannya sama saja token saya sampai mati total penanganan lambat jawaban tidak memuaskan tidak ada kepastian disuruh nunggu terus"
M Rizki Dermawan,5,2025-12-05 16:26:31,terimakasih aplikasi pln mobile yg sangat akurat dan mudah di pelajari serta banyak fitur² sprti pembelian token listrik dan lain sbginya. terimakasih.
Bimo Laksono,5,2025-12-05 16:13:32,respond cepat dan tanggap pada pelayanan👍🙏
anton nugroho Sopian santoso,5,2025-12-05 16:10:31,lebih mudah dlm penyampaian keluhan prihal masalah kelistrikan.
Muhammad Taufik,5,2025-12-05 16:04:29,aplikasi ini bisa untuk daftar baru nggak?
Jtl Express Bawean,5,2025-12-05 15:58:30,Pelayanan sangat bagus dan memuaskan Pln bawean mantap
Suliah Namang,5,2025-12-05 15:55:36,dengan aplikasi PLN mobile mempermudah laporan gangguan kwh terimakasih pln
Aril japan,5,2025-12-05 15:55:15,"harap sediakan fitur tracking petugas, sehingga pelanggan tahu info petugas masih sedang mengatasi gangguan dimana. atau sediakan fitur info antrian, sehingga pelanggan tahu sedang di antrian ke berapa dan petugas masih mengatasi d antrian k brp. utk petugas, ramah, kompeten, gercep ketika ditelpon lagi karena tiba2 ada permasalahan lanjutan. semoga sehat2 semangat, karna di musim hujan pasti lebih banyak komplain. live chat aplikasi terimakasih bantuan info dan kontak 123 pusat terimakasih jg"
Rachmawati Hamid,5,2025-12-05 15:03:12,Terima kasih PLN Mobile layanannya berkwaalitas dapat promo menariknya bervariasi. the best dech✌️
Kartika Candra,5,2025-12-05 15:00:49,pelayanan cepat tanggap mantap
Sang Prabawa Agung,5,2025-12-05 14:59:44,top
Dwiky Darmawan,5,2025-12-05 14:33:57,semoga cepat di layani
Hasimhasbullah Hasbullah,5,2025-12-05 14:31:58,sangat membantu
Cepnuh Tya,5,2025-12-05 14:23:01,sangat membantu saya lupa id langsung gercep di kasih info id saya
Wes Skarep,5,2025-12-05 14:15:43,pln jos
Eko Nanda,5,2025-12-05 14:04:15,"aplikasinya sangat membantu, lancar dan fitur lengkap"
Indiyah Fajarwati,5,2025-12-05 14:00:09,PLN mobile memudahkan dalam bertransaksi dan banyak hadiahnya
Khairul Mizan,5,2025-12-05 13:55:47,mantap jiwa PLN
nurdiansyah ardhy,5,2025-12-05 13:52:35,"mantap,,,apk nya smakin praktis,,sangat memudahkan kita sebagai pelanggan dalam melaporkan kendala² tentang klistrikan & respon cepat,,👍👍👍👍"
Syahrah Rahayu,5,2025-12-05 13:45:39,"sejak ada aplikasi ini, sangat memudahkan saya salah satunya adalah pengaduan masalah listrik."
Zakia Maulidia,5,2025-12-05 13:42:48,"respon cepat, sangat puas pelayanannya"
Abut Jr,5,2025-12-05 13:42:15,sangat membantu
Maulana Yusup,5,2025-12-05 13:39:52,terimakasih kepada petugas / pelayanan pln saya selaku pelanggan merespond dgn baik terkait adanya aplikasi plm mobile mempermudah pelaporan gangguan kelistrikan serta proses pasang baru atau tambah daya.
sarlit sari,5,2025-12-05 13:37:53,cepat responnya dan dikerjakan langsung dan petugas nya ramah
Indri Yani,5,2025-12-05 13:37:45,PLN mobile ini benar-benar menjadi solusi ketika ada masalah kelistrikan dan fitur-fiturnya semakin lengkap.
Mujib Mubarok,5,2025-12-05 13:35:50,Laporan ganguan bisa d tracking.
Saniman Saniman,5,2025-12-05 13:30:15,PLN terbaik respon cepat
Yoga Gaming,5,2025-12-05 13:29:39,"semenjak kenal PLN mobile bayar listrik tidak perlu ke warung , terimaksih PLN mobile"
jolla montjai,5,2025-12-05 13:21:41,aplikasi yang sangat membantu dalam kebutuhan listrik
karyono Alif,5,2025-12-05 13:21:41,PLN mobile sangat membantu proses. Masyarakat yg membutuhkan bantuan PLN......
Erak Era,5,2025-12-05 13:21:08,Apikasi yang sangat Mudah digunakan dan Membantu saya memantau penggunaan listrik dengan lebih efektif
Purwaningsih Soetarmin,5,2025-12-05 13:17:25,Sangat membantu
Nurul Istiqomah,5,2025-12-05 13:17:14,Aplikasi membantu dalam pembayaran listrik. adminnya lebih murah
Dendi,5,2025-12-05 13:16:10,mantap PLN mobile
MARTIAS MART,5,2025-12-05 13:10:26,"mudah dan cepat, sangat membantu"
Tasya Denita,5,2025-12-05 13:09:34,"Beli token listrik, bayar tagihan, melakukan pengaduan, mengajukan pasang baru dan tambah daya dengan mudah melalui PLN Mobile!"
Alfais Tamailang,5,2025-12-05 13:06:50,sangat bagus
raden iklil,5,2025-12-05 13:06:50,mantap
Miko Jatmiko,5,2025-12-05 13:05:48,"aplikasi mudah digunakan, pelayanan handal, terpercaya, petugas ramah berkompeten"
eko alfinadia,5,2025-12-05 13:04:40,trima kasih
Simon Snoe,5,2025-12-05 13:03:00,Terimakasih atas pelayanan petugas pemasangan yang selalu Ramah dalam melayani
Febi Sintia,5,2025-12-05 13:02:38,"Aplikasi PLN Mobile sangat membantu! Bayar tagihan dan beli token jadi praktis tanpa perlu keluar rumah. Fitur ListriQu dan SPKLU-nya juga keren.Good job, PLN, terus tingkatkan ya!"""
Dhani Ican,5,2025-12-05 13:00:49,terima kasih penanganan cepatnya
Rudi Hartono chanel,5,2025-12-05 13:00:19,sangat bagus aplikasi PLN. mobile trimakasih PLN . memudahkan segalanya
mimy mimy,5,2025-12-05 12:51:54,"bagus fast respon, comel secomel comelnya, patut diapresiasi"
sutio tio,5,2025-12-05 12:48:58,trimakasih pelayanan sangat bagus
Rindiana,5,2025-12-05 12:42:27,aplikasi untuk mempermudah transaksi kelistrikan
Fahrul Takiya,5,2025-12-05 12:42:15,"aplikasinya mantap, responya cepat sekali"
Mobil B Ulp sidareja,5,2025-12-05 12:42:06,Pelayanan elekticity handal mudah terpercaya dan kompeten
Sati Lara,5,2025-12-05 12:41:09,"Terimakasih PLN Mobile, kerjanya gercep sekali, tidak sampai 20 menit masalah terselesaikan, pelayanannya benar-benar cepat.. Mantap PLN Mobile"
Leny Channel,5,2025-12-05 12:40:36,aplikasi yang memudahkan kami dalam membeli token listrik dengan harga yang lebih murah.
Fatih Irfan,5,2025-12-05 12:37:41,Pelayanan cepat dan mensolusikan. semoga kedepannya lebih baik lagi
Riris Istiqomah,5,2025-12-05 12:34:44,sangat membantu
Bryan Pradika,1,2025-12-05 12:31:56,mbulet
iim nirwana,5,2025-12-05 12:28:08,dengan ada nya aplikasi pln mobil dapat membantu pengaduan masalah listrik.
Muhammad Fauzi,5,2025-12-05 12:27:22,"Solusi terbaik untuk kebutuhan listrik di rumah, mulai dari pengaduan pelanggan , perubahan daya, pasang baru dan bisa untuk pengecekan pemakaian listrik di rumah"
Ika Wiji Purwandari,5,2025-12-05 12:26:02,"sangat membantu, aduan ditindaklanjuti dengan cepat 🙏"
yaedi hatami,5,2025-12-05 12:22:51,pln booth nya serius. okee banget . banyak hadiah dan hiburan . pokok nya PLN kereen abissss.
Awaludin SPd,5,2025-12-05 12:22:20,satu aplikasi utk semua. mantap.
albertus gunawan,5,2025-12-05 12:22:01,"KLO ad tagihan non gak bisa dibayar jdi menyulitkan pengajuan atau menggunakan aplikasi,jdi tetap kekantor pusat"
Cak NDan,5,2025-12-05 12:18:50,pelayanan cepat
Billy Son,5,2025-12-05 12:14:08,fast respon 👍👍
Beactris Sidobo,5,2025-12-05 12:13:41,terbaik & sangat membantu
Akbar Tanjung,4,2025-12-05 12:12:04,slow respon
Yusuf Salafy,1,2025-12-05 12:08:50,"saya tinggal di ULP SIDAREJA CILACAP, kalo mengadukan keluhan listrik padam, sekarang2 diaplikasi suka ada laporan bohong. terlapor status ""padam meluas"" padahal tidak. bahkan tidak ada petugas yang memperbaiki."
Erwan Pramono,5,2025-12-05 12:05:28,penangan cepat
Doli Sinaga,5,2025-12-05 12:04:36,"aplikasi ini sangat bagus dan berguna di pakai byr listrik,belanja dan lain2"
Fendy Alhabsy,5,2025-12-05 12:04:05,sangat membantu dan cepat tangap
manusia biasa,5,2025-12-05 12:02:25,"cepat,tanggap,mantap."
Siti Aminah,5,2025-12-05 12:02:22,pln memuaskan
Roby Panca,5,2025-12-05 12:01:15,aplikasi sangat membantu mantap deh PLN....
